id,type,detail_name,recipe_id,label_smoothing_default,mixup_alpha_default,cutmix_alpha_default,auto_augment_policy,random_erasing_default,train_crop_size,val_resize_size,val_crop_size,preprocessing_mean,preprocessing_std,classifier_head_field,feature_extraction_supported,notes,evidence_ids
tensorflow_efficientnet_imagenet_autoaugment_training_details,ImageClassificationRecipeDetails,TensorFlow TPU EfficientNet ImageNet AutoAugment training image-classification details,tensorflow_efficientnet_imagenet_autoaugment_training,,,,"autoaugment",,224|240|288|300|380|456|528|600,256|255|288|320|384|456|528|600,224|240|288|300|380|456|528|600,0.485|0.456|0.406,0.229|0.224|0.225,,true,"Variant crop and resize sizes follow TorchVision EfficientNet B0-B7 weight metadata. Official TensorFlow TPU repo states AutoAugment checkpoints use augment_name=autoaugment and exposes final features for classification fine-tuning.",evidence_tensorflow_tpu_efficientnet_repo|evidence_torchvision_efficientnet_docs
torchvision_efficientnet_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,TorchVision EfficientNet ImageNet-pretrained custom classification fine-tuning details,torchvision_efficientnet_imagenet_pretrained_custom_finetune,,,,,,"224|240|288|300|380|456|528|600",256|255|288|320|384|456|528|600,224|240|288|300|380|456|528|600,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],true,"Use weights.transforms() for validation/inference. For custom classes replace classifier[1]; for small datasets freeze features and train only classifier[1] first.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_efficientnet_docs
torchvision_mobilenetv3_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,Torchvision MobileNetV3 ImageNet-pretrained custom fine-tuning image-classification details,torchvision_mobilenetv3_imagenet_pretrained_custom_finetune,,,,,,224,256 or weights.transforms resize,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[3],true,Custom fine-tuning detail row adapted from PyTorch transfer-learning tutorial; MobileNetV3 classifier replacement is verified from TorchVision source.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv3_source|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_small_docs
torchvision_vit_b16_imagenet_v1_training_details,ImageClassificationRecipeDetails,TorchVision ViT-B-16 ImageNet-1K V1 training details,torchvision_vit_b16_imagenet_v1_training,0.11,0.2,1.0,ra,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.heads.head,,TorchVision ViT-B-16 V1 recipe uses repeated augmentation sampler and model EMA; weight transforms use 224 crop with ImageNet normalization.,evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source|evidence_torchvision_classification_reference
swag_vit_b16_imagenet1k_e2e_finetune_details,ImageClassificationRecipeDetails,SWAG ViT-B/16 ImageNet-1K end-to-end fine-tuning details,swag_vit_b16_imagenet1k_e2e_finetune,,,,,,384,384,384,0.485|0.456|0.406,0.229|0.224|0.225,model.heads.head,false,SWAG ViT-B/16 ImageNet-1K fine-tuned checkpoint uses 384x384 bicubic preprocessing in TorchVision metadata; end-to-end fine-tuned checkpoint should not be treated as head-only feature extraction.,evidence_swag_repo|evidence_torchvision_vit_source
torchvision_vit_b16_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,TorchVision ViT-B-16 ImageNet-pretrained custom fine-tuning details,torchvision_vit_b16_imagenet_pretrained_custom_finetune,,,,,,224|384,weights.transforms resize,224|384,0.485|0.456|0.406,0.229|0.224|0.225,model.heads.head,true,"Use weights.transforms() for validation/inference. For custom classes replace heads.head; for small datasets freeze encoder and train heads.head first; interpolate positional embeddings when changing image size.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_vit_b16_docs|evidence_torchvision_vit_source
ftclip_clip_vit_b16_imagenet1k_finetune_details,ImageClassificationRecipeDetails,FT-CLIP CLIP ViT-B/16 ImageNet-1K fine-tuning details,ftclip_clip_vit_b16_imagenet1k_finetune,0.1,0,0,RandAug_m9_n2_mstd0.5,0.25,224,224,224,0.48145466|0.4578275|0.40821073,0.26862954|0.26130258|0.27577711,visual classification head,true,"FT-CLIP fine-tunes the visual encoder for ImageNet-1K using CLIP mean/std, RandAug, no MixUp/CutMix, no drop path, layer-wise LR decay, and EMA.",evidence_ft_clip_paper|evidence_ft_clip_repo|evidence_openai_clip_source
timm_clip_vit_b16_openai_adapted_custom_finetune_details,ImageClassificationRecipeDetails,Adapted timm CLIP ViT-B/16 custom fine-tuning details,timm_clip_vit_b16_openai_adapted_custom_finetune,0.1,0,0,none,0.25,224,248,224,0.48145466|0.4578275|0.40821073,0.26862954|0.26130258|0.27577711,head,true,"The 224px crop, bicubic interpolation, 248px evaluation resize and CLIP normalization match the timm pretrained configuration. Label smoothing and random erasing are retained from FT-CLIP; exact FT-CLIP RandAug is omitted rather than approximated by a different policy.",evidence_timm_clip_vit_b16|evidence_ft_clip_paper|evidence_ft_clip_repo|evidence_openai_clip_source
torchvision_swin_v2_imagenet1k_training_details,ImageClassificationRecipeDetails,TorchVision Swin V2 ImageNet-1K training details,torchvision_swin_v2_imagenet1k_training,0.1,0.8,1.0,ta_wide,0.25,256,260,256,0.485|0.456|0.406,0.229|0.224|0.225,model.head,,TorchVision Swin V2 Tiny and Small use resize 260 and crop 256. The final classifier is model.head in TorchVision SwinTransformer.,evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source|evidence_torchvision_classification_reference
torchvision_swin_v2_t_imagenet_v1_adapted_custom_finetune_details,ImageClassificationRecipeDetails,Adapted Swin V2 Tiny ImageNet V1 custom fine-tuning details,torchvision_swin_v2_t_imagenet_v1_adapted_custom_finetune,0.1,0,0,none,0,256,260,256,0.485|0.456|0.406,0.229|0.224|0.225,model.head,true,"Replace model.head for custom labels; optionally warm up the head with a frozen backbone; then update all parameters and use the exact V1 weights transforms for validation/inference.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source
torchvision_swin_v2_s_imagenet_v1_adapted_custom_finetune_details,ImageClassificationRecipeDetails,Adapted Swin V2 Small ImageNet V1 custom fine-tuning details,torchvision_swin_v2_s_imagenet_v1_adapted_custom_finetune,0.1,0,0,none,0,256,260,256,0.485|0.456|0.406,0.229|0.224|0.225,model.head,true,"Replace model.head for custom labels; optionally warm up the head with a frozen backbone; then update all parameters and use the exact V1 weights transforms for validation/inference.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_swin_v2_docs|evidence_torchvision_swin_source
meta_dinov2_imagenet1k_linear_eval_details,ImageClassificationRecipeDetails,Meta DINOv2 ImageNet-1K frozen linear evaluation details,meta_dinov2_imagenet1k_linear_eval,,,,,,518,518,518,0.485|0.456|0.406,0.229|0.224|0.225,linear classifier,false,"Official DINOv2 linear evaluation freezes the pretrained backbone and trains a supervised linear classifier on ImageNet-1K; eval configs use global_crops_size=518 for pretrained backbones.",evidence_dinov2_repo|evidence_dinov2_eval_configs
hf_dinov2_image_classification_finetune_details,ImageClassificationRecipeDetails,Hugging Face DINOv2 custom image-classification fine-tuning details,hf_dinov2_image_classification_finetune,,,,,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,classifier,true,"DINOv2 image processor resizes shortest edge to 256, center-crops to 224, rescales, and applies ImageNet normalization; Dinov2ForImageClassification adds a linear classifier on top of the CLS token.",evidence_hf_dinov2_docs|evidence_hf_image_classification_finetune|evidence_hf_dinov2_preprocessor
timm_dinov2_s_b14_adapted_custom_finetune_details,ImageClassificationRecipeDetails,Adapted timm DINOv2 Small/Base custom fine-tuning details,timm_dinov2_s_b14_adapted_custom_finetune,,,,,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,head,true,"Training uses a 224px random crop; validation, testing, evaluation, and inference use deterministic 256px resize and 224px center crop with bicubic interpolation and ImageNet normalization. timm's head is a linear classifier over the pooled class-token representation.",evidence_timm_dinov2_vits14|evidence_timm_dinov2_vitb14|evidence_hf_dinov2_docs|evidence_hf_dinov2_preprocessor
