id,type,recipe_id,param_name,param_value,notes,evidence_ids
param_mobilenetv2_v2_finetune_lr_gamma,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v2_custom_finetune,scheduler_gamma,0.1,Transfer-learning tutorial baseline multiplies LR by 0.1 at each step; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_densenet121_pretrain_growth_rate,TrainingRecipeParameter,densenet121_luatorch_imagenet_v1_training,growth_rate,32,DenseNet-121 growth rate in the authors' ImageNet command.,evidence_densenet_author_repo
param_densenet121_pretrain_memory_mode,TrainingRecipeParameter,densenet121_luatorch_imagenet_v1_training,opt_memory,3,Authors' extreme memory-optimization mode used by the published command.,evidence_densenet_author_repo
param_densenet121_pretrain_reduction,TrainingRecipeParameter,densenet121_luatorch_imagenet_v1_training,transition_reduction,0.5,Default DenseNet-C transition compression factor used by the authors' code.,evidence_densenet_author_repo
param_densenet121_finetune_step_size,TrainingRecipeParameter,densenet121_imagenet_v1_adapted_custom_finetune,scheduler_step_size,7,Transfer-learning tutorial baseline decays learning rate every seven epochs; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_densenet121_finetune_lr_gamma,TrainingRecipeParameter,densenet121_imagenet_v1_adapted_custom_finetune,scheduler_gamma,0.1,Transfer-learning tutorial baseline multiplies learning rate by 0.1; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_densenet121_finetune_track_metric,TrainingRecipeParameter,densenet121_imagenet_v1_adapted_custom_finetune,track_metric,val_acc,Monitor validation accuracy consistently with the tutorial's best-model selection.,evidence_pytorch_transfer_learning_tutorial
param_convnext_tiny_norm_weight_decay,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_training,norm_weight_decay,0.0,Official recipe excludes normalization parameters from weight decay.,evidence_torchvision_classification_reference
param_convnext_tiny_ra_reps,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_training,ra_reps,4,Official recipe uses repeated augmentation with four repetitions.,evidence_torchvision_classification_reference
param_convnext_tiny_stochastic_depth,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_training,stochastic_depth_prob,0.1,TorchVision ConvNeXt Tiny builder default.,evidence_torchvision_convnext_source
param_convnext_tiny_finetune_scheduler_step_size,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune,scheduler_step_size,7,Official transfer-learning tutorial decays the learning rate every seven epochs.,evidence_pytorch_transfer_learning_tutorial
param_convnext_tiny_finetune_scheduler_gamma,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune,scheduler_gamma,0.1,Official transfer-learning tutorial multiplies the learning rate by 0.1 at each StepLR boundary.,evidence_pytorch_transfer_learning_tutorial
param_convnext_tiny_finetune_track_metric,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune,track_metric,val_acc,Official transfer-learning tutorial saves and restores the checkpoint with the highest validation accuracy.,evidence_pytorch_transfer_learning_tutorial
param_convnext_tiny_finetune_nesterov,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune,nesterov,false,Official transfer-learning tutorial constructs SGD without enabling Nesterov momentum.,evidence_pytorch_transfer_learning_tutorial
param_convnext_tiny_finetune_head_learning_rate_multiplier,TrainingRecipeParameter,torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune,head_learning_rate_multiplier,1.0,Official full-fine-tuning tutorial places all model parameters in one SGD optimizer at the same learning rate.,evidence_pytorch_transfer_learning_tutorial
param_ultralytics_yolo_time_override,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,time,,Time-limited training can override epoch-based training.,evidence_ultralytics_cfg_docs
param_ultralytics_yolo_tune,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,tune,,Run hyperparameter tuning if the target metric is not met.,evidence_ultralytics_hpo_docs
param_rtdetr_ema_decay,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,ema_decay,0.9999,RT-DETR fine-tuning EMA decay from official config context.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_rtdetr_num_queries,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,num_queries,300,RT-DETR decoder query count.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_rtdetr_decoder_layers,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,decoder_layers,6,RT-DETR decoder depth.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_rtdetr_augmentations,TrainingRecipeParameter,rtdetr_objects365_to_coco_finetune,augmentations,random color distort|expand|crop|flip|resize,RT-DETR augmentation sequence summarized from the recipe string.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
param_ultralytics_rtdetr_beta1,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,beta1,0.9,AdamW first-moment coefficient used through the Ultralytics momentum argument.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_lrf,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,final_learning_rate_factor,0.01,Final linear learning-rate factor from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_warmup_momentum,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,warmup_momentum,0.8,Warm-up momentum from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_translate,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,translate,0.1,Translation augmentation magnitude from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_scale,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,scale,0.5,Scale augmentation magnitude from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_fliplr,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,fliplr,0.5,Horizontal flip probability from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_ht_beta1,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,beta1,0.9,AdamW first-moment coefficient used through the Ultralytics momentum argument.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_ht_lrf,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,final_learning_rate_factor,0.01,Final linear learning-rate factor from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_ht_warmup_momentum,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,warmup_momentum,0.8,Warm-up momentum from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_ht_translate,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,translate,0.1,Translation augmentation magnitude from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_ht_scale,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,scale,0.5,Scale augmentation magnitude from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_ultralytics_rtdetr_ht_fliplr,TrainingRecipeParameter,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,fliplr,0.5,Horizontal flip probability from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_torchvision_retinanet_trainable_backbone_layers,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_training,trainable_backbone_layers,3,Torchvision RetinaNet reference setting.,evidence_torchvision_detection_reference|evidence_torchvision_retinanet_docs
param_torchvision_retinanet_lr_steps,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_training,lr_steps,16|22,Torchvision RetinaNet MultiStepLR milestones.,evidence_torchvision_detection_reference
param_torchvision_retinanet_focal_loss_gamma,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_training,focal_loss_gamma,2,RetinaNet focal-loss gamma.,evidence_lin_focal_loss|evidence_torchvision_retinanet_docs
param_torchvision_retinanet_finetune_trainable_backbone_layers,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,trainable_backbone_layers,3,Torchvision pretrained RetinaNet default number of trainable backbone layers.,evidence_torchvision_retinanet_docs
param_torchvision_retinanet_finetune_lr_milestones,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,lr_milestones,16|22,Torchvision RetinaNet reference MultiStepLR milestones.,evidence_torchvision_detection_reference
param_torchvision_retinanet_finetune_scheduler_gamma,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,scheduler_gamma,0.1,Torchvision detection reference learning-rate decay factor.,evidence_torchvision_detection_reference
param_torchvision_retinanet_finetune_track_metric,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,track_metric,val_mAP,Select checkpoints using COCO mAP at IoU 0.50 to 0.95.,evidence_torchvision_detection_reference
param_torchvision_retinanet_finetune_max_size,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,max_size,1333,Official pretrained RetinaNet transform maximum image side.,evidence_torchvision_retinanet_docs
param_torchvision_retinanet_finetune_horizontal_flip,TrainingRecipeParameter,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,horizontal_flip_probability,0.5,Torchvision detection reference uses random horizontal flip for training.,evidence_torchvision_detection_reference
param_detectron2_retinanet_max_iter,TrainingRecipeParameter,detectron2_retinanet_r50_fpn_coco_pretrained_finetune,SOLVER.MAX_ITER,270000 for 3x or 90000 for 1x,Detectron2 RetinaNet iteration schedules from model zoo/config context.,evidence_detectron2_retinanet_config|evidence_detectron2_model_zoo
param_detectron2_retinanet_input_min_size_train,TrainingRecipeParameter,detectron2_retinanet_r50_fpn_coco_pretrained_finetune,INPUT.MIN_SIZE_TRAIN,640|672|704|736|768|800,Detectron2 RetinaNet scale jitter values.,evidence_detectron2_retinanet_config
param_torchvision_fasterrcnn_head_replacement,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_finetune,roi_heads.box_predictor,FastRCNNPredictor(in_features num_classes),Replace Faster R-CNN predictor head for custom classes.,evidence_torchvision_detection_finetuning_tutorial|evidence_torchvision_fasterrcnn_docs
param_torchvision_fasterrcnn_finetune_trainable_backbone_layers,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,trainable_backbone_layers,3,Torchvision pretrained Faster R-CNN default number of trainable backbone layers.,evidence_torchvision_fasterrcnn_docs
param_torchvision_fasterrcnn_finetune_lr_milestones,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,lr_milestones,16|22,Torchvision Faster R-CNN reference MultiStepLR milestones.,evidence_torchvision_detection_reference
param_torchvision_fasterrcnn_finetune_scheduler_gamma,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,scheduler_gamma,0.1,Torchvision detection reference learning-rate decay factor.,evidence_torchvision_detection_reference
param_torchvision_fasterrcnn_finetune_track_metric,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,track_metric,val_mAP,Select checkpoints using COCO mAP at IoU 0.50 to 0.95.,evidence_torchvision_detection_reference
param_torchvision_fasterrcnn_finetune_max_size,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,max_size,1333,Official pretrained Faster R-CNN transform maximum image side.,evidence_torchvision_fasterrcnn_docs
param_torchvision_fasterrcnn_finetune_horizontal_flip,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,horizontal_flip_probability,0.5,Torchvision detection reference uses random horizontal flip for training.,evidence_torchvision_detection_reference
param_torchvision_fasterrcnn_finetune_max_detections,TrainingRecipeParameter,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,max_detections,100,Official Faster R-CNN maximum detections per image.,evidence_torchvision_fasterrcnn_source
param_detectron2_fasterrcnn_roi_classes,TrainingRecipeParameter,detectron2_fasterrcnn_r50_fpn_coco_pretrained_finetune,MODEL.ROI_HEADS.NUM_CLASSES,<custom_num_classes>,Set Detectron2 Faster R-CNN ROI head class count for custom datasets.,evidence_detectron2_custom_dataset_docs|evidence_detectron2_fasterrcnn_config
param_detectron2_fasterrcnn_max_iter,TrainingRecipeParameter,detectron2_fasterrcnn_r50_fpn_coco_pretrained_finetune,SOLVER.MAX_ITER,270000 for 3x or 90000 for 1x,Detectron2 Faster R-CNN iteration schedules from config context.,evidence_detectron2_fasterrcnn_config|evidence_detectron2_fasterrcnn_model_zoo
param_torchvision_ssd_input_size,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,input_size,300,Torchvision SSD300 fixed input size.,evidence_torchvision_detection_reference|evidence_torchvision_ssd_docs
param_torchvision_ssd_max_size,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,max_size,300,Torchvision SSD300 uses a fixed 300x300 internal transform.,evidence_torchvision_ssd_docs|evidence_torchvision_ssd_source
param_torchvision_ssd_trainable_backbone_layers,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,trainable_backbone_layers,4,Torchvision pretrained SSD300 defaults to four trainable VGG16 backbone blocks.,evidence_torchvision_ssd_docs|evidence_torchvision_ssd_source
param_torchvision_ssd_lr_milestones,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,lr_milestones,80|110,Torchvision SSD300 reference MultiStepLR milestones.,evidence_torchvision_detection_reference
param_torchvision_ssd_scheduler_gamma,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,scheduler_gamma,0.1,Torchvision SSD300 reference learning-rate decay factor.,evidence_torchvision_detection_reference
param_torchvision_ssd_track_metric,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,track_metric,val_mAP,Select checkpoints using COCO mAP at IoU 0.50 to 0.95.,evidence_torchvision_detection_reference
param_torchvision_ssd_augmentation_policy,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,augmentation_policy,ssd,Torchvision SSD300 reference augmentation preset.,evidence_torchvision_detection_reference
param_torchvision_ssd_horizontal_flip,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,horizontal_flip_probability,0.5,Torchvision SSD augmentation includes random horizontal flipping.,evidence_torchvision_detection_reference
param_torchvision_ssd_max_detections,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,max_detections,200,Torchvision SSD default detections retained per image.,evidence_torchvision_ssd_source
param_torchvision_ssd_topk_candidates,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,topk_candidates,400,Torchvision SSD default pre-NMS candidate count.,evidence_torchvision_ssd_source
param_torchvision_ssd_positive_fraction,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,positive_fraction,0.25,Torchvision SSD hard-negative sampling positive fraction.,evidence_torchvision_ssd_source
param_torchvision_ssd_matching_iou,TrainingRecipeParameter,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,matching_iou_threshold,0.5,Torchvision SSD default-box matching IoU threshold.,evidence_torchvision_ssd_source
param_resnet50_v2_label_smoothing,TrainingRecipeParameter,torchvision_resnet50_imagenet_v2_training,label_smoothing,0.1,ResNet50 V2 recipe regularization setting.,evidence_pytorch_resnet50_sota_recipe
param_resnet50_v2_auto_augment,TrainingRecipeParameter,torchvision_resnet50_imagenet_v2_training,auto_augment,ta_wide,ResNet50 V2 augmentation policy.,evidence_pytorch_resnet50_sota_recipe
param_resnet50_finetune_head,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,model.fc,nn.Linear(model.fc.in_features num_classes),Replace ResNet classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_resnet50_docs
param_resnet50_finetune_step_size,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,scheduler_step_size,7,Executable StepLR interval adapted directly from the transfer-learning tutorial.,evidence_pytorch_transfer_learning_tutorial
param_resnet50_finetune_step_gamma,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,scheduler_gamma,0.1,Executable StepLR decay factor adapted directly from the transfer-learning tutorial.,evidence_pytorch_transfer_learning_tutorial
param_resnet50_finetune_patience,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,patience,5,Local conservative early-stopping default for the adapted 25-epoch recipe; this exact value is not specified by the source tutorial.,
param_resnet50_finetune_track_metric,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,track_metric,val_acc,Monitor validation accuracy consistently with the tutorial's best-model selection.,evidence_pytorch_transfer_learning_tutorial
param_resnet50_finetune_head_lr_multiplier,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,head_learning_rate_multiplier,1.0,Use the same SGD learning rate for the replaced head and pretrained backbone unless a matched rule justifies otherwise.,evidence_pytorch_transfer_learning_tutorial
param_resnet50_finetune_crop_scale,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,random_resized_crop_scale_min,0.6,Local conservative crop lower bound intended to reduce label-destroying crops during custom-data fine-tuning.,
param_resnet50_finetune_horizontal_flip,TrainingRecipeParameter,torchvision_resnet50_imagenet_pretrained_custom_finetune,horizontal_flip_probability,0.5,TorchVision RandomHorizontalFlip uses probability 0.5 by default; orientation-sensitive tasks should override it through an applicable rule.,evidence_pytorch_transfer_learning_tutorial
param_mobilenetv3_finetune_head,TrainingRecipeParameter,torchvision_mobilenetv3_imagenet_pretrained_custom_finetune,model.classifier[3],nn.Linear(model.classifier[3].in_features num_classes),Replace MobileNetV3 classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv3_source
param_mobilenetv3_finetune_step_size,TrainingRecipeParameter,torchvision_mobilenetv3_imagenet_pretrained_custom_finetune,scheduler_step_size,7,Transfer-learning tutorial baseline decays LR every seven epochs; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_mobilenetv3_finetune_step_gamma,TrainingRecipeParameter,torchvision_mobilenetv3_imagenet_pretrained_custom_finetune,scheduler_gamma,0.1,Transfer-learning tutorial baseline multiplies LR by 0.1 at each step; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_efficientnet_finetune_head,TrainingRecipeParameter,torchvision_efficientnet_imagenet_pretrained_custom_finetune,model.classifier[1],nn.Linear(model.classifier[1].in_features num_classes),Replace EfficientNet classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_efficientnet_docs
param_efficientnet_finetune_step_size,TrainingRecipeParameter,torchvision_efficientnet_imagenet_pretrained_custom_finetune,scheduler_step_size,7,Transfer-learning tutorial baseline decays the learning rate every seven epochs.,evidence_pytorch_transfer_learning_tutorial
param_efficientnet_finetune_scheduler_gamma,TrainingRecipeParameter,torchvision_efficientnet_imagenet_pretrained_custom_finetune,scheduler_gamma,0.1,Transfer-learning tutorial baseline multiplies the learning rate by 0.1 at each StepLR boundary.,evidence_pytorch_transfer_learning_tutorial
param_efficientnet_finetune_track_metric,TrainingRecipeParameter,torchvision_efficientnet_imagenet_pretrained_custom_finetune,track_metric,val_acc,Monitor validation accuracy consistently with the tutorial's best-model selection.,evidence_pytorch_transfer_learning_tutorial
param_vit_b16_reference_amp,TrainingRecipeParameter,torchvision_vit_b16_imagenet_v1_training,amp,true,Torchvision ViT-B-16 reference recipe uses mixed precision AMP.,evidence_torchvision_vit_b16_docs|evidence_torchvision_classification_reference
param_vit_b16_finetune_head,TrainingRecipeParameter,torchvision_vit_b16_imagenet_pretrained_custom_finetune,model.heads.head,nn.Linear(model.heads.head.in_features num_classes),Replace Torchvision ViT classifier head for custom classes.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_vit_source
param_ftclip_layer_decay,TrainingRecipeParameter,ftclip_clip_vit_b16_imagenet1k_finetune,layer_decay,0.6,FT-CLIP supervised fine-tuning layer-wise LR decay.,evidence_ft_clip_paper|evidence_ft_clip_repo
param_ftclip_effective_batch_size,TrainingRecipeParameter,ftclip_clip_vit_b16_imagenet1k_finetune,effective_batch_size,2048,FT-CLIP ImageNet-1K fine-tuning effective batch size.,evidence_ft_clip_repo
param_swinv2_torchvision_clip_grad_norm,TrainingRecipeParameter,torchvision_swin_v2_imagenet1k_training,gradient_clip_norm,5.0,Executable field for Torchvision Swin V2 ImageNet-1K gradient clipping.,evidence_torchvision_swin_v2_docs|evidence_torchvision_classification_reference
param_swinv2_t_finetune_min_lr,TrainingRecipeParameter,torchvision_swin_v2_t_imagenet_v1_adapted_custom_finetune,min_learning_rate,0.000001,Executable cosine-schedule floor for the adapted Tiny fine-tuning recipe.,evidence_torchvision_classification_reference|evidence_torchvision_swin_v2_docs
param_swinv2_t_finetune_head_lr_multiplier,TrainingRecipeParameter,torchvision_swin_v2_t_imagenet_v1_adapted_custom_finetune,head_learning_rate_multiplier,2.0,Give the newly initialized head a larger learning rate than the pretrained Tiny backbone.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_swin_source
param_swinv2_t_finetune_clip_norm,TrainingRecipeParameter,torchvision_swin_v2_t_imagenet_v1_adapted_custom_finetune,gradient_clip_norm,5.0,Executable field corresponding to the TorchVision Swin V2 clipping setting.,evidence_torchvision_classification_reference|evidence_torchvision_swin_v2_docs
param_swinv2_t_finetune_warmup_factor,TrainingRecipeParameter,torchvision_swin_v2_t_imagenet_v1_adapted_custom_finetune,warmup_start_factor,0.01,Executable linear-warmup starting factor inherited from the Swin V2 reference recipe.,evidence_torchvision_classification_reference
param_swinv2_s_finetune_min_lr,TrainingRecipeParameter,torchvision_swin_v2_s_imagenet_v1_adapted_custom_finetune,min_learning_rate,0.000001,Executable cosine-schedule floor for the adapted Small fine-tuning recipe.,evidence_torchvision_classification_reference|evidence_torchvision_swin_v2_docs
param_swinv2_s_finetune_head_lr_multiplier,TrainingRecipeParameter,torchvision_swin_v2_s_imagenet_v1_adapted_custom_finetune,head_learning_rate_multiplier,2.0,Give the newly initialized head a larger learning rate than the pretrained Small backbone.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_swin_source
param_swinv2_s_finetune_clip_norm,TrainingRecipeParameter,torchvision_swin_v2_s_imagenet_v1_adapted_custom_finetune,gradient_clip_norm,5.0,Executable field corresponding to the TorchVision Swin V2 clipping setting.,evidence_torchvision_classification_reference|evidence_torchvision_swin_v2_docs
param_swinv2_s_finetune_warmup_factor,TrainingRecipeParameter,torchvision_swin_v2_s_imagenet_v1_adapted_custom_finetune,warmup_start_factor,0.01,Executable linear-warmup starting factor inherited from the Swin V2 reference recipe.,evidence_torchvision_classification_reference
param_dinov2_linear_backbone_frozen,TrainingRecipeParameter,meta_dinov2_imagenet1k_linear_eval,backbone_frozen,true,DINOv2 linear evaluation freezes the pretrained backbone.,evidence_dinov2_repo|evidence_dinov2_eval_configs
param_hf_dinov2_trainer_learning_rate,TrainingRecipeParameter,hf_dinov2_image_classification_finetune,TrainingArguments.learning_rate,5e-5,Hugging Face image-classification fine-tuning learning rate.,evidence_hf_image_classification_finetune|evidence_hf_dinov2_docs
param_llava_pretrain_projector_type,TrainingRecipeParameter,llava_1_5_13b_alignment_pretrain,mm_projector_type,mlp2x_gelu,LLaVA-1.5 uses a two-layer MLP vision-language connector.,evidence_llava_1_5_paper|evidence_llava_pretrain_script
param_llava_pretrain_global_batch,TrainingRecipeParameter,llava_1_5_13b_alignment_pretrain,global_batch_size,256,Official feature-alignment global batch size.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_pretrain_script
param_llava_7b_finetune_global_batch,TrainingRecipeParameter,llava_1_5_7b_visual_instruction_finetune,global_batch_size,128,Official visual instruction tuning global batch size for the LLaVA-1.5 published recipe.,evidence_llava_1_5_paper|evidence_llava_official_repo
param_llava_finetune_global_batch,TrainingRecipeParameter,llava_1_5_13b_visual_instruction_finetune,global_batch_size,128,Official visual instruction tuning global batch size.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_finetune_script
